rank,age,height_cm,weight_kg,bmi,19.1_rank,19.2_rank,19.3_rank,19.4_rank,19.5_rank
10373,36,175.0,70.0,22.9,8179,18933,17366,20534,14040
10374,28,178.0,84.0,26.5,4903,16120,27104,12171,18758
10375,27,183.0,83.0,24.8,14443,17588,16790,18779,11462
10376,36,177.0,81.0,25.9,12686,14516,34163,10007,7695
10377,17,170.0,70.0,24.2,34698,14496,16055,10117,3707
10377,24,175.0,79.0,25.8,27384,15870,12649,7408,15762
10379,34,178.0,79.0,24.9,34698,14482,14590,2706,12598
10380,29,178.0,84.0,26.5,10347,20366,20887,13060,14426
10381,29,178.0,91.0,28.7,9188,36688,13961,7862,11399
10382,44,190.0,91.0,25.2,27384,17002,11199,9227,14287
10383,24,178.0,84.0,26.5,6260,10555,14285,16593,31413
10384,27,186.0,92.0,26.6,6260,24196,10377,13831,24468
10385,38,188.0,90.0,25.5,11645,11759,28279,16000,11462
10386,24,178.0,68.0,21.5,34698,16381,9500,11200,7375
10387,21,168.0,69.0,24.4,33428,23115,6194,4611,11809
10388,26,173.0,76.0,25.4,33428,14787,17953,4513,8479
10388,37,184.0,90.0,26.6,6260,12706,48754,5879,5561
10390,41,178.0,84.0,26.5,15232,7182,31846,14747,10155
10391,35,183.0,90.0,26.9,22820,11188,10317,18864,15974
10392,33,180.0,86.0,26.5,11188,13132,16243,22342,16261
10393,36,173.0,75.0,25.1,18387,27445,16297,8049,8990
10394,33,168.0,73.0,25.9,35431,12261,15648,6850,8990
10395,27,183.0,80.0,23.9,6260,3780,49219,9966,9960
10396,27,180.0,85.0,26.2,5609,17002,10351,20736,25495
10397,27,183.0,85.0,25.4,21334,26873,17881,6258,6848
10398,25,183.0,85.0,25.4,13218,11683,21952,14332,18013
10399,27,188.0,98.0,27.7,17433,10240,13779,24687,13070
10400,36,180.0,77.0,23.8,19508,19585,18724,8145,13251
10401,22,187.0,94.0,26.9,1564,15779,28017,14489,19369
10402,35,178.0,91.0,28.7,21334,14927,10758,20117,12094
10403,33,185.0,86.0,25.1,19508,20334,11658,8447,19291
10404,34,178.0,80.0,25.2,5102,22689,27988,14985,8479
10405,30,180.0,84.0,25.9,9881,16868,22354,11386,18758
10406,26,178.0,70.0,22.1,60845,6883,1770,1423,8327
10407,32,180.0,98.0,30.2,8517,11915,23754,22519,12551
10408,46,176.0,78.0,25.2,34003,6915,11357,9365,17617
10409,36,178.0,84.0,26.5,45485,6844,22931,2858,1142
10410,28,178.0,79.0,24.9,15232,17442,23980,14203,8421
10411,31,183.0,82.0,24.5,10735,43419,9577,7332,8229
10412,36,170.0,79.0,27.3,30006,9521,9161,13606,16999
10413,27,168.0,71.0,25.2,36340,22471,3469,6861,10155
10414,33,168.0,73.0,25.9,41254,8333,6641,12426,10665
10415,30,185.0,98.0,28.6,11645,6442,9003,24376,27859
10416,32,178.0,89.0,28.1,30006,7170,11671,16625,13856
10416,32,180.0,78.0,24.1,11188,13113,10609,18136,26282
10418,26,184.0,87.0,25.7,10735,9891,26818,23360,8527
10419,26,178.0,84.0,26.5,14443,7923,34102,7746,15130
10421,31,165.0,66.0,24.2,41254,18755,2660,6258,10428
10422,40,185.0,88.0,25.7,4465,11667,20634,22177,20429
10423,28,183.0,90.0,26.9,22820,16724,13337,14232,12266
10425,24,180.0,85.0,26.2,5363,20013,20585,14569,18860
10426,31,175.0,79.0,25.8,20070,11759,11492,16970,19103
10427,22,178.0,84.0,26.5,30006,14482,14469,6584,13856
10428,26,173.0,73.0,24.4,27384,17512,17362,12001,5141
10429,21,178.0,82.0,25.9,10735,12958,37113,12655,5940
10431,23,176.0,85.0,27.4,35431,13789,11496,12390,6309
10432,26,185.0,98.0,28.6,25821,10256,11088,14396,17856
10433,25,171.0,86.0,29.4,25056,3860,30158,9195,11176
10434,27,171.0,77.0,26.3,51743,8988,13551,2140,3025
10435,30,177.0,81.0,25.9,18902,22690,9053,13970,14847
10436,25,178.0,84.0,26.5,10347,16643,16454,16066,19957
10437,33,170.0,76.0,26.3,19508,15153,13498,16181,15130
10438,34,185.0,91.0,26.6,1205,22738,18292,14213,23028
10440,36,185.0,98.0,28.6,15232,8700,18588,26967,9996
10441,29,178.0,81.0,25.6,24248,17198,15692,12001,10346
10442,24,185.0,88.0,25.7,4465,10389,15019,22226,27392
10444,25,185.0,88.0,25.7,10735,21182,17379,17890,12318
10446,34,178.0,76.0,24.0,15232,8069,7853,35190,13188
10447,32,192.0,93.0,25.2,11645,8089,25253,21225,13321
10448,23,178.0,84.0,26.5,10735,8825,4980,8819,46190
10449,25,185.0,84.0,24.5,11645,28238,18479,6702,14488
10450,30,173.0,82.0,27.4,11188,12846,22727,22690,10104
10451,28,173.0,75.0,25.1,51743,2654,2614,16196,6351
